"","Var1","state","outboundFreq","airport","city","country","lat","long","State","inboundFreq"
"1","ABE","PA",4807,"Lehigh Valley International","Allentown","USA",40.65236278,-75.44040167,"Pennsylvania",4795
"2","ABI","TX",2660,"Abilene Regional","Abilene","USA",32.41132,-99.68189722,"Texas",2661
"3","ABQ","NM",41146,"Albuquerque International","Albuquerque","USA",35.04022222,-106.6091944,"New Mexico",41144
"4","ABY","GA",1095,"Southwest Georgia Regional","Albany","USA",31.535515,-84.19447333,"Georgia",1095
"5","ACK","MA",457,"Nantucket Memorial","Nantucket","USA",41.25305194,-70.06018139,"Massachusetts",469
"6","ACT","TX",1993,"Waco Regional","Waco","USA",31.61128833,-97.23051917,"Texas",1994
"7","ACV","CA",3714,"Arcata","Arcata/Eureka","USA",40.97811528,-124.1086189,"California",3702
"8","ACY","NJ",116,"Atlantic City International","Atlantic City","USA",39.45758333,-74.57716667,"New Jersey",113
"9","ADK","AK",102,"Adak","Adak","USA",51.87796389,-176.6460306,"Alaska",102
"10","ADQ","AK",706,"Kodiak ","Kodiak","USA",57.74996778,-152.4938553,"Alaska",706
"11","AEX","LA",2330,"Alexandria International","Alexandria","USA",31.32737167,-92.54855611,"Louisiana",2327
"12","AGS","GA",2403,"Bush ","Augusta","USA",33.369955,-81.96449611,"Georgia",2406
"13","AKN","AK",116,"King Salmon","King Salmon","USA",58.67680167,-156.6492175,"Alaska",116
"14","ALB","NY",13474,"Albany Cty","Albany","USA",42.74811944,-73.80297861,"New York",13468
"15","ALO","IA",323,"Waterloo Municipal","Waterloo","USA",42.55708139,-92.40034361,"Iowa",323
"16","AMA","TX",7496,"Amarillo International","Amarillo","USA",35.2193725,-101.7059272,"Texas",7490
"17","ANC","AK",19327,"Ted Stevens Anchorage International","Anchorage","USA",61.17432028,-149.9961856,"Alaska",19329
"18","ASE","CO",5307,"Aspen-Pitkin Co/Sardy ","Aspen","USA",39.22316,-106.868845,"Colorado",5243
"19","ATL","GA",414513,"William B Hartsfield-Atlanta Intl","Atlanta","USA",33.64044444,-84.42694444,"Georgia",414521
"20","ATW","WI",5873,"Outagamie County Regional","Appleton","USA",44.25740806,-88.51947556,"Wisconsin",5872
"21","AUS","TX",49623,"Austin-Bergstrom International","Austin","USA",30.19453278,-97.66987194,"Texas",49637
"22","AVL","NC",4399,"Asheville Regional","Asheville","USA",35.43619444,-82.54180556,"North Carolina",4398
"23","AVP","PA",2386,"Wilkes-Barre/Scranton Intl","Wilkes-Barre/Scranton","USA",41.33814944,-75.7242675,"Pennsylvania",2384
"24","AZO","MI",3924,"Kalamazoo County","Kalamazoo","USA",42.234875,-85.5520575,"Michigan",3921
"25","BDL","CT",29449,"Bradley International","Windsor Locks","USA",41.93887417,-72.68322833,"Connecticut",29445
"26","BET","AK",1035,"Bethel","Bethel","USA",60.77977639,-161.8379975,"Alaska",1035
"27","BFL","CA",4502,"Meadows ","Bakersfield","USA",35.43359806,-119.0567681,"California",4499
"28","BGM","NY",728,"Binghamton Regional","Binghamton","USA",42.20848278,-75.97961361,"New York",728
"29","BGR","ME",2879,"Bangor International","Bangor","USA",44.80744444,-68.82813889,"Maine",2877
