"","to","from","freq","fromlat","fromlong","tolat","tolong"
"1","ABE","CLT",465,35.21401111,-80.94312583,40.65236278,-75.44040167
"2","ABE","ATL",852,33.64044444,-84.42694444,40.65236278,-75.44040167
"3","ABE","DTW",997,42.21205889,-83.34883583,40.65236278,-75.44040167
"4","ABE","CLE",805,41.41089417,-81.84939667,40.65236278,-75.44040167
"5","ABE","LNK",1,40.85097222,-96.75925,40.65236278,-75.44040167
"6","ABE","CVG",248,39.04614278,-84.6621725,40.65236278,-75.44040167
"7","ABE","MKE",1,42.94722222,-87.89658333,40.65236278,-75.44040167
"8","ABE","ORD",1426,41.979595,-87.90446417,40.65236278,-75.44040167
"9","ABI","DFW",2660,32.89595056,-97.0372,32.41132,-99.68189722
"10","ABI","CMI",1,40.03925,-88.27805556,32.41132,-99.68189722
"11","ABQ","OAK",1004,37.72129083,-122.2207167,35.04022222,-106.6091944
"12","ABQ","ELP",792,31.80666667,-106.3778056,35.04022222,-106.6091944
"13","ABQ","ONT",443,34.056,-117.6011944,35.04022222,-106.6091944
"14","ABQ","CLE",12,41.41089417,-81.84939667,35.04022222,-106.6091944
"15","ABQ","ATL",1064,33.64044444,-84.42694444,35.04022222,-106.6091944
"16","ABQ","SAT",426,29.53369444,-98.46977778,35.04022222,-106.6091944
"17","ABQ","COS",1,38.80580556,-104.70025,35.04022222,-106.6091944
"18","ABQ","AUS",435,30.19453278,-97.66987194,35.04022222,-106.6091944
"19","ABQ","SEA",708,47.44898194,-122.3093131,35.04022222,-106.6091944
"20","ABQ","DEN",4309,39.85840806,-104.6670019,35.04022222,-106.6091944
"21","ABQ","MAF",366,31.94252778,-102.2019139,35.04022222,-106.6091944
"22","ABQ","SFO",529,37.61900194,-122.3748433,35.04022222,-106.6091944
"23","ABQ","SMF",466,38.69542167,-121.5907669,35.04022222,-106.6091944
"24","ABQ","SAN",1054,32.73355611,-117.1896567,35.04022222,-106.6091944
"25","ABQ","DAL",3106,32.84711389,-96.85177222,35.04022222,-106.6091944
"26","ABQ","ORD",754,41.979595,-87.90446417,35.04022222,-106.6091944
"27","ABQ","HOU",1023,29.64541861,-95.27888889,35.04022222,-106.6091944
"28","ABQ","PHX",5234,33.43416667,-112.0080556,35.04022222,-106.6091944
"29","ABQ","TUS",718,32.11608333,-110.9410278,35.04022222,-106.6091944
"30","ABQ","LBB",366,33.66363889,-101.8227778,35.04022222,-106.6091944
"31","ABQ","TUL",229,36.19837222,-95.88824167,35.04022222,-106.6091944
"32","ABQ","CVG",260,39.04614278,-84.6621725,35.04022222,-106.6091944
"33","ABQ","SLC",2293,40.78838778,-111.9777731,35.04022222,-106.6091944
"34","ABQ","LAX",2415,33.94253611,-118.4080744,35.04022222,-106.6091944
"35","ABQ","EWR",166,40.69249722,-74.16866056,35.04022222,-106.6091944
"36","ABQ","IAD",365,38.94453194,-77.45580972,35.04022222,-106.6091944
"37","ABQ","TPA",366,27.97547222,-82.53325,35.04022222,-106.6091944
"38","ABQ","IAH",2261,29.98047222,-95.33972222,35.04022222,-106.6091944
"39","ABQ","MCI",670,39.29760528,-94.71390556,35.04022222,-106.6091944
"40","ABQ","MCO",726,28.42888889,-81.31602778,35.04022222,-106.6091944
"41","ABQ","PDX",366,45.58872222,-122.5975,35.04022222,-106.6091944
"42","ABQ","MDW",730,41.7859825,-87.75242444,35.04022222,-106.6091944
"43","ABQ","LAS",2408,36.08036111,-115.1523333,35.04022222,-106.6091944
"44","ABQ","OKC",231,35.39308833,-97.60073389,35.04022222,-106.6091944
"45","ABQ","AMA",366,35.2193725,-101.7059272,35.04022222,-106.6091944
"46","ABQ","BWI",549,39.17540167,-76.66819833,35.04022222,-106.6091944
"47","ABQ","DFW",2888,32.89595056,-97.0372,35.04022222,-106.6091944
"48","ABQ","DRO",1,37.15151667,-107.7537692,35.04022222,-106.6091944
"49","ABQ","STL",366,38.74768694,-90.35998972,35.04022222,-106.6091944
"50","ABQ","MSP",677,44.88054694,-93.2169225,35.04022222,-106.6091944
"51","ABQ","OMA",1,41.30251861,-95.89417306,35.04022222,-106.6091944
