"","state","Var1","Freq","airport","city","country","lat","long","State"
"1","AK","WRG",727,"Wrangell","Wrangell","USA",56.48432583,-132.3698242,"Alaska"
"2","AK","FAI",4822,"Fairbanks International","Fairbanks","USA",64.8136775,-147.8596694,"Alaska"
"3","AK","JNU",4410,"Juneau International","Juneau","USA",58.35496194,-134.5762764,"Alaska"
"4","AK","SIT",1332,"Sitka","Sitka","USA",57.04713806,-135.3615983,"Alaska"
"5","AK","CDV",725,"Merle K (Mudhole) Smith","Cordova","USA",60.49183389,-145.4776503,"Alaska"
"6","AK","AKN",116,"King Salmon","King Salmon","USA",58.67680167,-156.6492175,"Alaska"
"7","AK","ADQ",706,"Kodiak ","Kodiak","USA",57.74996778,-152.4938553,"Alaska"
"8","AK","GST",85,"Gustavus","Gustavus","USA",58.42438139,-135.7073814,"Alaska"
"9","AK","OME",1090,"Nome","Nome","USA",64.51220222,-165.4452458,"Alaska"
"10","AK","PSG",727,"James C. Johnson Petersburg","Petersburg","USA",56.80165194,-132.9452781,"Alaska"
"11","AK","KTN",2380,"Ketchikan International","Ketchikan","USA",55.35556861,-131.71374,"Alaska"
"12","AK","BRW",728,"Wiley Post Will Rogers Memorial","Barrow","USA",71.2854475,-156.7660019,"Alaska"
"13","AK","DLG",116,"Dillingham","Dillingham","USA",59.0454125,-158.5033389,"Alaska"
"14","AK","YAK",725,"Yakutat","Yakutat","USA",59.50336056,-139.6602261,"Alaska"
"15","AK","BET",1035,"Bethel","Bethel","USA",60.77977639,-161.8379975,"Alaska"
"16","AK","ANC",19327,"Ted Stevens Anchorage International","Anchorage","USA",61.17432028,-149.9961856,"Alaska"
"17","AK","ADK",102,"Adak","Adak","USA",51.87796389,-176.6460306,"Alaska"
"18","AK","SCC",727,"Deadhorse","Deadhorse","USA",70.19475583,-148.4651608,"Alaska"
"19","AK","OTZ",1086,"Ralph Wien Memorial","Kotzebue","USA",66.88467694,-162.5985497,"Alaska"
"20","AL","MOB",6348,"Mobile Regional","Mobile","USA",30.69141667,-88.24283333,"Alabama"
"21","AL","MGM",3851,"Montgomery Regional Apt","Montgomery","USA",32.30064417,-86.39397611,"Alabama"
"22","AL","HSV",10791,"Huntsville International ","Huntsville","USA",34.6404475,-86.77310944,"Alabama"
"23","AL","BHM",23679,"Birmingham International","Birmingham","USA",33.56294306,-86.75354972,"Alabama"
"24","AL","DHN",1397,"Dothan ","Dothan","USA",31.32133917,-85.44962889,"Alabama"
"25","AR","XNA",14112,"Northwest Arkansas Regional","Fayetteville/Springdale/Rogers","USA",36.28186944,-94.30681111,"Arkansas"
"26","AR","TXK",1250,"Texarkana Regional-Webb ","Texarkana","USA",33.45370806,-93.99102,"Arkansas"
"27","AR","LIT",15369,"Adams ","Little Rock","USA",34.72939611,-92.22424556,"Arkansas"
"28","AR","FSM",2937,"Fort Smith Regional","Fort Smith","USA",35.33659028,-94.36744111,"Arkansas"
"29","AZ","PHX",199408,"Phoenix Sky Harbor International","Phoenix","USA",33.43416667,-112.0080556,"Arizona"
"30","AZ","YUM",3871,"Yuma MCAS-Yuma International","Yuma","USA",32.65658333,-114.6059722,"Arizona"
"31","AZ","FLG",1871,"Flagstaff Pulliam","Flagstaff","USA",35.13845472,-111.6712183,"Arizona"
"32","AZ","TUS",26661,"Tucson International","Tucson","USA",32.11608333,-110.9410278,"Arizona"
"33","CA","OXR",1292,"Oxnard","Oxnard","USA",34.20080083,-119.2072164,"California"
"34","CA","ONT",35072,"Ontario International","Ontario","USA",34.056,-117.6011944,"California"
"35","CA","SAN",93775,"San Diego International-Lindbergh ","San Diego","USA",32.73355611,-117.1896567,"California"
"36","CA","ACV",3714,"Arcata","Arcata/Eureka","USA",40.97811528,-124.1086189,"California"
